H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
76998.54700000001	-0.06909491330000001	-0.06909491330000001	9.41595017E-007	9.41595017E-007	300.0031
76959.602	-0.0690943537	-0.0690943537	5.70201946E-007	5.70201946E-007	300.0033
76959.602	-0.0690944414	-0.0690944414	-2.40261255E-008	-2.40261255E-008	300.0033
76959.602	-0.06909364580000001	-0.06909364580000001	-1.72583143E-007	-1.72583143E-007	300.0036
76959.602	-0.06909367280000001	-0.06909367280000001	5.02523835E-008	5.02523835E-008	300.0036
76959.602	-0.06909436049999999	-0.06909436049999999	7.93037473E-007	7.93037473E-007	300.0036
76906.984	-0.06909340980000001	-0.06909340980000001	-2.40261255E-008	-2.40261255E-008	300.0038
76906.984	-0.0690944886	-0.0690944886	-3.21140161E-007	-3.21140161E-007	300.0038
76906.984	-0.06909508859999999	-0.06909508859999999	3.47366419E-007	3.47366419E-007	300.0038
76906.984	-0.0690927895	-0.0690927895	-3.9541867E-007	-3.9541867E-007	300.0038
76867.102	-0.06909481889999999	-0.06909481889999999	-3.21140161E-007	-3.21140161E-007	300.0016
76867.102	-0.0690946504	-0.0690946504	2.7308791E-007	2.7308791E-007	300.0016
76867.102	-0.069094138	-0.069094138	1.015873E-006	1.015873E-006	300.0016
76829.469	-0.0690953178	-0.0690953178	4.95923437E-007	4.95923437E-007	300.0017
76829.469	-0.0690943267	-0.0690943267	-8.41089724E-007	-8.41089724E-007	300.0017
76829.469	-0.0690934435	-0.0690934435	-5.43975688E-007	-5.43975688E-007	300.0017
76829.469	-0.0690932547	-0.0690932547	4.95923437E-007	4.95923437E-007	300.0017
76790.141	-0.06909331539999999	-0.06909331539999999	-1.72583143E-007	-1.72583143E-007	300.0027
76790.141	-0.06909440090000001	-0.06909440090000001	1.23870853E-006	1.23870853E-006	300.0027
76790.141	-0.0690936593	-0.0690936593	1.98809401E-007	1.98809401E-007	300.0027
76790.141	-0.06909343	-0.06909343	1.98809401E-007	1.98809401E-007	300.0027
76750.633	-0.06909385480000001	-0.06909385480000001	-1.72583143E-007	-1.72583143E-007	300.0029
76750.633	-0.0690933559	-0.0690933559	4.95923437E-007	4.95923437E-007	300.0029
76750.633	-0.0690940166	-0.0690940166	-5.43975688E-007	-5.43975688E-007	300.0029
76711.313	-0.0690942324	-0.0690942324	-6.92532706E-007	-6.92532706E-007	300.003
76711.313	-0.06909463690000001	-0.06909463690000001	6.44480455E-007	6.44480455E-007	300.0048
76711.313	-0.0690934705	-0.0690934705	7.18758964E-007	7.18758964E-007	300.0048
76711.313	-0.0690941447	-0.0690941447	3.47366419E-007	3.47366419E-007	300.0048
76671.992	-0.06909343	-0.06909343	4.21644928E-007	4.21644928E-007	300.005
76671.992	-0.0690929446	-0.0690929446	5.70201946E-007	5.70201946E-007	300.005
76671.992	-0.0690940099	-0.0690940099	1.98809401E-007	1.98809401E-007	300.005
76671.992	-0.0690937402	-0.0690937402	-9.83046344E-008	-9.83046344E-008	300.005
76671.992	-0.0690934435	-0.0690934435	3.47366419E-007	3.47366419E-007	300.005
76633.984	-0.0690936977	-0.0690936977	-2.46861652E-007	-2.46861652E-007	300.0033
76633.984	-0.06909364380000001	-0.06909364380000001	4.21644928E-007	4.21644928E-007	300.0033
76633.984	-0.069093219	-0.069093219	-2.46861652E-007	-2.46861652E-007	300.0033
76633.984	-0.0690935764	-0.0690935764	1.24530892E-007	1.24530892E-007	300.0033
76593.352	-0.06909286839999999	-0.06909286839999999	1.24530892E-007	1.24530892E-007	300.0034
76593.352	-0.0690939404	-0.0690939404	-7.66811215E-007	-7.66811215E-007	300.0034
76593.352	-0.0690925583	-0.0690925583	-5.43975688E-007	-5.43975688E-007	300.0034
76593.352	-0.069094345	-0.069094345	-7.66811215E-007	-7.66811215E-007	300.0034
76554.781	-0.0690929156	-0.0690929156	-1.06392525E-006	-1.06392525E-006	300.0027
76554.781	-0.0690942101	-0.0690942101	3.47366419E-007	3.47366419E-007	300.0027
76554.781	-0.0690937921	-0.0690937921	-2.40261255E-008	-2.40261255E-008	300.0027
76554.781	-0.0690938326	-0.0690938326	-2.46861652E-007	-2.46861652E-007	300.0027
