H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
76551.219	0.06816196920000001	0.06816196920000001	-6.18390463E-007	-6.18390463E-007	299.9994
76551.219	0.0681612815	0.0681612815	-9.89774383E-007	-9.89774383E-007	299.9994
76551.219	0.0681596432	0.0681596432	-5.4411136E-007	-5.4411136E-007	299.9994
76551.219	0.0681616793	0.0681616793	-6.18388173E-007	-6.18388173E-007	299.9994
76512.273	0.06816148380000001	0.06816148380000001	-1.3611563E-006	-1.3611563E-006	299.9995
76512.273	0.0681609916	0.0681609916	5.0103144E-008	5.0103144E-008	299.9995
76512.273	0.06816091069999999	0.06816091069999999	-3.21280921E-007	-3.21280921E-007	299.9995
76512.273	0.0681613692	0.0681613692	-4.69834547E-007	-4.69834547E-007	299.9995
76473.891	0.0681616524	0.0681616524	-9.15495426E-007	-9.15495426E-007	300.0011
76473.891	0.06816172650000001	0.06816172650000001	-3.95557734E-007	-3.95557734E-007	300.0011
