时间	热浴温度/K	样品电阻/Ω	参考电阻/Ω	磁场电压
2007.8307321071625	nan	2441.84	3993.8	4.41465663e-05
2008.601514339447	nan	2441.87	3993.7	4.48033827e-05
2009.3351333141327	nan	2441.84	3993.7	4.57156277e-05
2010.0706050395966	nan	2441.87	3993.8	4.52169338e-05
2010.826191663742	nan	2441.9	3993.8	4.55331787e-05
2011.5595526695251	nan	2441.86	3993.7	4.48520525e-05
2012.2921514511108	nan	2441.87	3993.6	4.50223383e-05
2013.0509507656097	nan	2441.85	3993.8	4.532642e-05
2013.8268773555756	nan	2441.87	3993.9	4.45114809e-05
2014.5634052753448	nan	2441.84	3993.7	4.50709913e-05
2015.297223329544	nan	2441.82	3993.9	4.58251291e-05
2016.0517518520355	nan	2441.85	3993.7	4.51318224e-05
2016.8085114955902	nan	2441.85	3993.8	4.41101073e-05
2017.5417575836182	nan	2441.84	3993.7	4.53750879e-05
2018.274821281433	nan	2441.86	3993.8	4.51804755e-05
2019.0422205924988	nan	2441.86	3993.7	4.53385978e-05
2019.8065328598022	nan	2441.84	3993.4	4.52169651e-05
2020.539423942566	nan	2441.79	3993.9	4.46331279e-05
2021.2933096885681	nan	2441.85	3993.8	4.55088837e-05
2022.0503656864166	nan	2441.81	3993.7	4.51196688e-05
2022.8065466880798	nan	2441.81	3993.8	4.63724864e-05
2023.5398139953613	nan	2441.83	3993.4	4.50223625e-05
2024.273488521576	nan	2441.81	3993.4	4.64941192e-05
2025.007506608963	nan	2441.82	3993.3	4.5435914e-05
2025.836974620819	nan	2441.81	3993.6	4.44993089e-05
2026.5698266029358	nan	2441.8	3993.9	4.46695946e-05
2027.3038430213928	nan	2441.75	3994.3	4.63967788e-05
2028.0507643222809	nan	2441.8	3994.3	4.55575133e-05
2028.8370897769928	nan	2441.81	3993.8	4.5362901e-05
2029.571520805359	nan	2441.8	3993.7	4.58250906e-05
2030.3050315380096	nan	2441.8	3993.7	4.54845191e-05
2031.0503764152527	nan	2441.78	3993.6	4.61778253e-05
2031.82510638237	nan	2441.75	3993.8	4.5156111e-05
2032.5595743656158	nan	2441.72	3993.8	4.49250089e-05
2033.2941281795502	nan	2441.76	3993.7	4.61778419e-05
2034.0511660575867	nan	2441.75	3993.6	4.67860054e-05
2034.813598871231	nan	2441.76	3993.7	4.47790659e-05
2035.546763420105	nan	2441.74	3993.9	4.40127799e-05
2036.308286190033	nan	2441.75	3993.8	4.53142273e-05
2037.051540851593	nan	2441.72	3993.7	4.52655743e-05
2037.8092937469482	nan	2441.76	3993.6	4.42316969e-05
2038.5472209453583	nan	2441.76	3993.3	4.41708805e-05
2039.2807772159576	nan	2441.71	3993.5	4.44749621e-05
2040.0373575687408	nan	2441.73	3993.7	4.72117141e-05
2040.8279421329498	nan	2441.69	3993.6	4.57156322e-05
2041.5600967407227	nan	2441.72	3993.7	4.50101626e-05
2042.2952101230621	nan	2441.7	3993.3	4.37695092e-05
2043.0537447929382	nan	2441.73	3993.4	4.51317953e-05
