时间秒	热浴温度	A侧	B侧	C侧	D侧
817.4638319015503	2.2559702535096573	1825.0	515.3	2992.2	1791.82
820.4636981487274	2.255805404277065	1825.03	515.33	2992.1	1791.87
823.4642660617828	2.255805404277065	1825.02	515.33	2992.3	1791.96
826.4642081260681	2.255640555651413	1825.21	515.36	2992.8	1791.94
829.4651863574982	2.255585606257355	1825.17	515.37	2992.6	1792.01
832.4657337665558	2.255310860520668	1825.22	515.42	2992.5	1791.95
835.4660077095032	2.255200962853501	1825.19	515.44	2992.3	1792.09
838.4658720493317	2.255036117094504	1825.12	515.47	2992.7	1792.06
841.4656248092651	2.2547613763260292	1825.39	515.52	2992.8	1792.16
844.4660952091217	2.254706428521816	1825.31	515.53	2992.7	1792.17
847.4666466712952	2.2545965332851017	1825.25	515.55	2992.7	1792.19
850.4676687717438	2.2544866385625286	1825.22	515.57	2992.9	1792.25
853.4674160480499	2.2545965332851017	1825.12	515.55	2992.8	1792.28
856.4671983718872	2.2542668507487513	1825.07	515.61	2993.1	1792.32
859.4686167240143	2.2539921192696966	1825.08	515.66	2993.0	1792.41
862.4685580730438	2.2539921192696966	1825.1	515.66	2992.9	1792.37
865.4675877094269	2.2538272822694125	1825.14	515.69	2993.1	1792.42
868.4682335853577	2.253607501959777	1825.03	515.73	2993.3	1792.4
871.4695200920105	2.253607501959777	1825.12	515.73	2993.1	1792.51
874.4694073200226	2.253387724507506	1825.09	515.77	2993.3	1792.45
877.4700608253479	2.253113006981564	1825.02	515.82	2993.5	1792.55
880.4697036743164	2.253113006981564	1825.04	515.82	2993.1	1792.55
883.4707572460175	2.2530580640761184	1825.0	515.83	2993.4	1792.55
886.4696116447449	2.2528382945462275	1825.12	515.87	2993.7	1792.6
889.4703297615051	2.2526185284969373	1825.06	515.91	2993.1	1792.71
892.469982624054	2.2524537063512584	1825.09	515.94	2993.4	1792.67
895.469010591507	2.2524537063512584	1825.07	515.94	2993.7	1792.74
898.4710347652435	2.2521790075526207	1825.09	515.99	2993.9	1792.8
901.4720513820648	2.252233946821609	1825.17	515.98	2993.7	1792.79
904.4699456691742	2.2520141912623997	1825.48	516.02	2993.6	1792.84
907.4724950790405	2.2519043150273808	1825.35	516.04	2994.0	1792.85
910.4720180034637	2.2516296291234785	1825.24	516.09	2994.0	1792.97
913.4723629951477	2.251574692767877	1825.12	516.1	2994.1	1792.98
916.472585439682	2.2514098854015407	1825.27	516.13	2993.7	1792.95
919.472892999649	2.251300015268872	1825.08	516.15	2993.6	1792.96
922.4689884185791	2.251190146318097	1825.15	516.17	2993.8	1793.05
925.4688563346863	2.250860546779802	1825.1	516.23	2993.6	1793.11
928.4695181846619	2.2510253451566915	1825.34	516.2	2994.0	1793.12
931.4700219631195	2.250860546779802	1825.49	516.23	2993.7	1793.22
934.4684977531433	2.250805614619276	1825.27	516.24	2993.9	1793.13
937.4689340591431	2.250585889210244	1825.18	516.28	2994.1	1793.19
940.4748332500458	2.2503661691077217	1825.21	516.32	2994.0	1793.2
943.469456911087	2.250146454489821	1825.09	516.36	2994.5	1793.29
946.477840423584	2.250091526713189	1825.1	516.37	2994.7	1793.27
949.4770615100861	2.249871819201507	1824.98	516.41	2994.0	1793.4
952.4721097946167	2.24981689323621	1825.07	516.42	2994.3	1793.38
955.4778048992157	2.24970704242024	1825.04	516.44	2994.2	1793.37
958.4683978557587	2.2496521175751307	1824.98	516.45	2994.0	1793.46
961.4773044586182	2.2495971931089818	1824.98	516.46	2994.2	1793.46
964.4704360961914	2.2493774990896145	1824.97	516.5	2994.3	1793.51
967.469562292099	2.2491578113561257	1825.01	516.54	2994.3	1793.5
970.4786903858185	2.249047969902205	1824.97	516.56	2994.5	1793.64
973.4698143005371	2.248883210799919	1824.95	516.59	2994.6	1793.61
976.4765825271606	2.2487733734832305	1824.97	516.61	2994.9	1793.63
979.4688005447388	2.2486086206910487	1824.97	516.64	2994.8	1793.64
982.4695010185242	2.2485537039535335	1825.02	516.65	2995.0	1793.7
985.4699237346649	2.248443871784997	1825.02	516.67	2995.1	1793.7
988.4733901023865	2.2483340413769795	1825.06	516.69	2995.3	1793.79
991.4752354621887	2.248059473205085	1824.89	516.74	2994.9	1793.84
994.4702265262604	2.24811438593142	1825.04	516.73	2995.0	1793.76
997.4721353054047	2.247839826923302	1825.02	516.78	2995.0	1793.77
1000.4681396484375	2.2475103716767757	1825.07	516.84	2995.2	1793.87
1003.4708240032196	2.247620188172514	1825.05	516.82	2995.0	1793.89
1006.4730136394501	2.247455464158538	1825.04	516.85	2994.8	1793.96
1009.476704120636	2.247290744555652	1825.14	516.88	2994.8	1793.94
1012.473141670227	2.247180933974673	1825.31	516.9	2994.8	1794.03
1015.4694254398346	2.24712602943879	1825.17	516.91	2995.5	1794.11
1018.4742197990417	2.2469064163907073	1825.22	516.95	2995.0	1794.01
1021.474612236023	2.2467966129627683	1824.97	516.97	2995.0	1794.16
1024.4703357219696	2.246631911753384	1824.98	517.0	2994.9	1794.15
1027.4767668247223	2.2465770124100195	1825.0	517.01	2995.1	1794.21
1030.4744656085968	2.246247627671368	1824.91	517.07	2994.9	1794.19
1033.4714555740356	2.246412317598021	1824.97	517.04	2995.0	1794.19
1036.4714603424072	2.2461927321277133	1824.89	517.08	2995.4	1794.32
1039.4527645111084	2.2461927321277133	1824.94	517.08	2995.6	1794.36
1042.4744889736176	2.2459731555197804	1824.98	517.12	2995.6	1794.33
1045.452923297882	2.2457535879514694	1824.85	517.16	2995.9	1794.32
1048.4781396389008	2.245643807612544	1825.02	517.18	2995.6	1794.42
1051.4773240089417	2.2455340295999586	1824.93	517.2	2995.8	1794.42
1054.4783926010132	2.245314480642352	1825.02	517.24	2996.0	1794.48
1057.4779789447784	2.245314480642352	1824.85	517.24	2996.1	1794.55
1060.4525661468506	2.2451498251953907	1824.92	517.27	2996.1	1794.58
1063.47230052948	2.245040057925201	1824.92	517.29	2996.1	1794.6
1066.474437713623	2.244820530751009	1824.85	517.33	2996.1	1794.58
1069.4746310710907	2.244765650508203	1824.81	517.34	2996.4	1794.64
1072.455640077591	2.244820530751009	1824.82	517.33	2996.3	1794.63
1075.4778397083282	2.244546135822817	1824.76	517.38	2996.2	1794.68
1078.4544112682343	2.244326631327314	1824.88	517.42	2996.1	1794.67
1081.4755125045776	2.244162009749067	1824.89	517.45	2996.1	1794.7
1084.4526889324188	2.2440522653065647	1824.88	517.47	2996.4	1794.73
1087.4750752449036	2.2438876536124672	1824.82	517.5	2996.2	1794.78
1090.4748327732086	2.2439425235108703	1824.9	517.49	2996.8	1794.86
1093.4576988220215	2.243668180746152	1825.07	517.54	2996.7	1794.85
1096.4777629375458	2.2435584483879465	1824.48	517.56	2996.3	1794.88
1099.4526419639587	2.2435584483879465	1824.15	517.56	2996.6	1794.9
1102.4526970386505	2.2433389919316347	1824.13	517.6	2996.6	1794.94
1105.4581716060638	2.2431744069037163	1824.19	517.63	2996.9	1795.04
1108.4783942699432	2.2430646870760613	1824.2	517.65	2996.9	1795.05
1111.4588584899902	2.2428452559780876	1824.19	517.69	2997.2	1795.08
1114.4542782306671	2.2426806902288945	1824.19	517.72	2997.0	1795.23
1117.4543657302856	2.2426258364365435	1824.23	517.73	2996.9	1795.11
1120.455576658249	2.2425709833774623	1824.21	517.74	2997.0	1795.27
1123.46053981781	2.2424064286273118	1824.08	517.77	2996.9	1795.11
1126.4596621990204	2.242241880575459	1824.1	517.8	2997.2	1795.21
1129.4535191059113	2.242187032726165	1824.12	517.81	2997.1	1795.27
1132.458116531372	2.242022493720662	1824.09	517.84	2997.1	1795.27
1135.4620144367218	2.241967648908766	1824.09	517.85	2997.0	1795.21
1138.454036474228	2.2418031190812857	1824.17	517.88	2997.2	1795.33
1141.4620628356934	2.241638596223677	1824.01	517.91	2997.5	1795.37
1144.459763765335	2.241638596223677	1823.99	517.91	2997.4	1795.42
1147.4592361450195	2.241528918227291	1824.09	517.93	2997.9	1795.42
1150.4605412483215	2.241254737076473	1824.17	517.98	2998.1	1795.4
1153.459329366684	2.241199903240804	1824.11	517.99	2997.8	1795.5
1156.4553396701813	2.240980575970971	1824.17	518.03	2998.3	1795.5
1159.4536004066467	2.240870917218041	1824.02	518.05	2998.6	1795.52
1162.4522817134857	2.2407064352526205	1824.01	518.08	2998.4	1795.63
1165.4620037078857	2.2405967847501955	1824.05	518.1	2998.3	1795.58
1168.4603250026703	2.2404871375862063	1824.11	518.12	2998.1	1795.62
1171.4536294937134	2.24065160958547	1824.04	518.09	2998.4	1795.68
1174.455573797226	2.2403774937824874	1824.14	518.14	2998.9	1795.71
1177.4540166854858	2.2403774937824874	1824.09	518.14	2998.5	1795.77
1180.4621720314026	2.2402130344251603	1824.19	518.17	2998.7	1795.75
1183.455482006073	2.2399389526067335	1824.17	518.22	2998.3	1795.71
1186.4561071395874	2.239884138834142	1824.25	518.23	2998.5	1795.82
1189.4589407444	2.239774513901845	1824.22	518.25	2998.3	1795.84
1192.4526987075806	2.2395552745650074	1824.37	518.29	2998.2	1795.9
1195.4591085910797	2.239390854359871	1824.44	518.32	2998.4	1795.96
1198.453842163086	2.2395004669399543	1824.3	518.3	2998.4	1795.92
1201.4567551612854	2.2392264422055863	1824.24	518.35	2998.8	1795.98
1204.4587364196777	2.2392812453579456	1824.23	518.34	2998.7	1795.96
1207.4526393413544	2.2391168386116584	1824.28	518.37	2998.6	1795.94
1210.4530153274536	2.2389524400384744	1824.19	518.4	2998.8	1796.09
1213.452924489975	2.238733254781281	1824.3	518.44	2999.0	1796.06
1216.4601695537567	2.238788049711684	1824.28	518.43	2999.2	1796.13
1219.462054014206	2.2385688755636077	1824.12	518.47	2999.0	1796.11
1222.4609265327454	2.2385140843579303	1824.11	518.48	2998.9	1796.16
1225.4582953453064	2.238459294090209	1824.27	518.49	2998.7	1796.19
1228.456636428833	2.2382401424530527	1824.21	518.53	2998.8	1796.25
1231.4622342586517	2.2381305723326084	1824.26	518.55	2998.4	1796.25
1234.4609162807465	2.23774710719545	1824.16	518.62	2998.6	1796.29
1237.4534962177277	2.2378018850234778	1824.09	518.61	2999.0	1796.29
1240.4617745876312	2.2376923303432457	1824.27	518.63	2999.1	1796.29
1243.456753730774	2.2375827795770995	1824.21	518.65	2998.7	1796.44
1246.4604167938232	2.2374732327466322	1824.31	518.67	2999.1	1796.32
1249.4605855941772	2.237363689873424	1824.1	518.69	2999.1	1796.4
1252.4589655399323	2.2374732327466322	1824.06	518.67	2999.3	1796.47
1255.4598541259766	2.237144616085075	1824.24	518.73	2999.4	1796.47
1258.4621124267578	2.2368707964932795	1824.19	518.78	2999.4	1796.56
1261.46244764328	2.236816035620995	1824.16	518.79	2999.6	1796.54
1264.453813791275	2.236816035620995	1824.14	518.79	2999.8	1796.54
1267.4571039676666	2.2365970023751025	1824.13	518.83	2999.5	1796.59
1270.4593238830566	2.236487491935738	1824.2	518.85	2999.5	1796.69
1273.4542610645294	2.236487491935738	1824.15	518.85	2999.6	1796.63
1276.4585964679718	2.236487491935738	1824.29	518.85	2999.6	1796.69
1279.456430196762	2.2363232340666066	1824.15	518.88	2999.9	1796.61
1282.4552793502808	2.2359947466377426	1824.19	518.94	2999.6	1796.77
1285.455231666565	2.2357757762208	1824.17	518.98	2999.6	1796.76
1288.4528286457062	2.2358852592947516	1824.16	518.96	2999.9	1796.63
1291.4546117782593	2.2357210362914093	1824.16	518.99	2999.9	1796.79
1294.4542925357819	2.235337887043601	1824.17	519.06	3000.5	1796.8
1297.4522793293	2.235337887043601	1824.19	519.06	2999.8	1796.87
1300.4538836479187	2.235392619389792	1824.15	519.05	2999.8	1796.9
1303.4544894695282	2.235228425635903	1824.31	519.08	2999.6	1796.98
1306.452023267746	2.235064241776124	1824.31	519.11	2999.8	1797.03
1309.4613971710205	2.23500951603401	1824.35	519.12	3000.2	1797.0
1312.46067404747	2.2351736965797397	1824.16	519.09	3000.3	1797.01
1315.4556822776794	2.2346811849850057	1824.26	519.18	3000.2	1797.01
1318.4531688690186	2.2345717502816362	1824.27	519.2	3000.4	1797.1
1321.454332113266	2.2346811849850057	1824.29	519.18	3000.2	1797.1
1324.4561915397644	2.2344623201035816	1824.27	519.22	3000.4	1797.17
1327.4618208408356	2.2343528944721207	1824.26	519.24	3000.2	1797.17
1330.4586975574493	2.2342434734085237	1824.44	519.26	3000.3	1797.18
1333.4546344280243	2.23407935042437	1824.46	519.29	3000.0	1797.22
1336.4529626369476	2.233969940873406	1824.36	519.31	3000.2	1797.29
1339.4541120529175	2.2340246450699373	1824.53	519.3	3000.8	1797.25
1342.4530670642853	2.2338058352577352	1824.48	519.34	3000.5	1797.36
1345.4531984329224	2.233696437352072	1824.53	519.36	3000.6	1797.28
1348.4551217556	2.2334776556476106	1824.48	519.4	3001.3	1797.37
1351.4609236717224	2.2333682718911656	1824.38	519.42	3001.4	1797.4
1354.4593846797943	2.2333682718911656	1824.38	519.42	3001.0	1797.42
1357.4567375183105	2.233422963175867	1824.38	519.41	3001.0	1797.45
1360.4541645050049	2.233258892893462	1824.37	519.44	3000.9	1797.38
1363.462886095047	2.232985466357447	1824.4	519.49	3000.7	1797.5
1366.4587264060974	2.232930784664212	1824.35	519.5	3000.6	1797.52
1369.4532918930054	2.232657394412985	1824.41	519.55	3001.0	1797.56
1372.4593532085419	2.2326027200241816	1824.39	519.56	3001.1	1797.6
1375.4528272151947	2.2327120700257836	1824.35	519.54	3001.2	1797.59
1378.456487417221	2.232438704228059	1824.4	519.59	3000.9	1797.65
1381.4559400081635	2.232438704228059	1824.43	519.59	3001.1	1797.57
1384.4551055431366	2.232220033795481	1824.44	519.63	3001.3	1797.56
1387.4541912078857	2.2321107060389114	1824.37	519.65	3001.0	1797.64
1390.4564545154572	2.232165369293363	1824.48	519.64	3001.3	1797.77
1393.4567573070526	2.231892065550276	1824.61	519.69	3001.1	1797.78
1396.4559831619263	2.2317280984128964	1824.65	519.72	3001.1	1797.89
1399.455780506134	2.231618793326872	1824.64	519.74	3001.3	1797.89
1402.462102174759	2.231509493336411	1824.71	519.76	3001.2	1797.82
1405.4615075588226	2.231509493336411	1824.46	519.76	3001.5	1797.84
1408.4630789756775	2.231509493336411	1824.33	519.76	3001.6	1797.97
1411.4601073265076	2.231400198462454	1824.26	519.78	3001.2	1797.96
1414.4555332660675	2.231290908725927	1824.21	519.8	3000.8	1797.92
1417.4601855278015	2.231126983799565	1824.25	519.83	3001.5	1797.99
1420.4605004787445	2.230963070549998	1824.22	519.86	3001.1	1797.96
1423.459520816803	2.230744537836253	1824.24	519.9	3001.1	1798.08
1426.45250248909	2.2306899079404934	1824.16	519.91	3001.3	1797.98
1429.458647966385	2.2305260261733197	1824.29	519.94	3001.2	1798.03
1432.4586627483368	2.230635279363017	1824.34	519.92	3001.2	1798.08
1435.456750869751	2.2304714015663047	1824.27	519.95	3001.6	1798.15
1438.4545810222626	2.2304167782879802	1824.56	519.96	3001.3	1798.16
1441.4580085277557	2.230252916451142	1824.5	519.99	3001.5	1798.17
1444.4601883888245	2.2300890666660655	1824.7	520.02	3001.5	1798.17
1447.4587242603302	2.2300344527613234	1824.67	520.03	3001.9	1798.16
1450.461831331253	2.229925229002831	1824.6	520.05	3001.8	1798.26
1453.4547882080078	2.2298160106629425	1824.52	520.07	3002.1	1798.28
1456.4607954025269	2.229761403531451	1824.47	520.08	3001.9	1798.26
1459.4622542858124	2.229706797762382	1824.43	520.09	3002.3	1798.32
